"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
4.018916000E-2,9.745731950E-4,-2.267706394E-2,1.363544464E-1
5.335205400E-2,1.052647829E-3,-9.922862053E-3,6.134796143E-2
6.469337100E-2,-1.265585423E-3,8.014440536E-3,-5.119132996E-2
7.529293500E-2,-2.161324024E-3,1.451921463E-2,-9.640502930E-2
8.571053000E-2,-2.099171281E-3,1.981472969E-2,-1.385622025E-1
9.574034300E-2,-1.465536654E-3,2.138531208E-2,-1.559629440E-1
1.065226450E-1,-1.890420914E-3,2.429711819E-2,-1.844711304E-1
1.260201670E-1,-3.313079476E-3,2.589201927E-2,-2.087955475E-1
1.458467610E-1,-1.634165645E-3,2.470910549E-2,-1.869268417E-1
1.665542160E-1,1.595616341E-4,1.227748394E-2,-8.699798584E-2
1.860247260E-1,1.778423786E-3,-2.539527416E-2,1.873826981E-1
1.962329100E-1,-1.123100519E-4,7.834434509E-4,-6.068229675E-3
2.063482520E-1,-4.373103380E-3,3.032684326E-2,-2.398843765E-1
2.169191520E-1,-3.574669361E-3,5.201995373E-2,-4.042577744E-1
2.360680820E-1,-1.075554639E-3,3.215301037E-2,-2.403306961E-1
2.462394320E-1,4.805400968E-4,-6.257891655E-3,4.310894012E-2
2.658922670E-1,1.006782055E-3,-8.439421654E-3,5.409622192E-2
2.759345970E-1,2.697944641E-3,-2.306282520E-2,1.497144699E-1
2.959452640E-1,-2.226173878E-3,2.852559090E-2,-1.966457367E-1
3.158645060E-1,-1.803889871E-3,2.395772934E-2,-1.734848022E-1
3.259222530E-1,-1.265496016E-3,1.627361774E-2,-1.159515381E-1
3.458264490E-1,-1.625940204E-3,1.645648479E-2,-1.029586792E-1
3.558520530E-1,1.844525337E-3,-1.960933208E-2,1.226243973E-1
3.662531620E-1,5.216196179E-3,-5.976521969E-2,3.956651688E-1
3.859757900E-1,-2.290755510E-4,1.296854019E-2,-1.011085510E-1
4.058107050E-1,2.851422876E-3,5.470085144E-2,-5.238380432E-1
4.158389980E-1,1.995027065E-3,3.709423542E-2,-3.997621536E-1
4.358318850E-1,-5.858689547E-4,1.806384325E-2,-1.862373352E-1
4.465916460E-1,-2.660050988E-3,4.655420780E-2,-3.979692459E-1
4.664093310E-1,-1.962944865E-3,3.799962997E-2,-3.031520844E-1
4.862244420E-1,-2.207890153E-3,1.876723766E-2,-1.426544189E-1
5.058927380E-1,-3.468811512E-3,3.981316090E-2,-2.747020721E-1
5.161315510E-1,-1.992508769E-3,3.000426292E-2,-2.027645111E-1
5.358872100E-1,4.147209227E-3,-4.529249668E-2,3.255882263E-1
5.459073290E-1,4.250913858E-3,-3.755462170E-2,2.806539536E-1
5.660593190E-1,-4.337571561E-3,5.166649818E-2,-3.762969971E-1
5.858227330E-1,-1.747040078E-4,3.258419037E-2,-2.190742493E-1
5.958457150E-1,3.386382014E-5,-6.511569023E-3,4.266262054E-2
6.058514510E-1,1.019988209E-3,-3.597640991E-2,2.230939865E-1
6.257619770E-1,-3.394484520E-5,-9.077548981E-3,5.326747894E-2
6.457572780E-1,1.241788268E-4,7.087588310E-3,-4.630661011E-2
6.557579620E-1,8.740276098E-4,2.101397514E-2,-1.546649933E-1
6.757544380E-1,7.955152541E-4,5.304372311E-2,-4.727563858E-1
6.858464900E-1,-1.891929656E-3,5.677306652E-2,-5.140600204E-1
7.059083670E-1,-2.072304487E-3,1.894354820E-2,-1.467981339E-1
7.259971700E-1,-2.533778548E-3,1.595807076E-2,-1.043367386E-1
7.460839670E-1,-2.791300416E-3,1.918315887E-2,-1.164331436E-1
7.658437390E-1,4.392996430E-3,-4.474151134E-2,2.718057632E-1
7.860908300E-1,-3.561452031E-3,3.496766090E-2,-2.063598633E-1
7.961633050E-1,-4.367709160E-3,3.602969646E-2,-2.096881866E-1
8.158853570E-1,3.703229129E-3,-5.355620384E-2,3.151960373E-1
8.358713780E-1,-1.433540136E-3,-5.791330338E-2,3.402509689E-1
8.558293810E-1,-9.668022394E-4,-3.395211697E-2,2.172021866E-1
8.757788940E-1,-7.064081728E-4,3.188669682E-2,-2.078447342E-1
8.858494730E-1,-1.513797790E-3,3.823149204E-2,-2.486391068E-1
9.062990080E-1,3.302425146E-3,-2.790343761E-2,1.793785095E-1
9.260105980E-1,2.859532833E-5,-5.011558533E-4,2.415657043E-3
9.366504290E-1,-2.858296037E-3,2.128255367E-2,-1.580705643E-1
9.564319170E-1,-5.605056882E-3,3.685307503E-2,-3.884887695E-1
9.759188120E-1,-3.869414330E-3,2.845299244E-2,-5.010604858E-1
9.864646920E-1,-3.327779472E-3,2.137634158E-2,-4.971036911E-1
1.005910756E0,-6.601801142E-4,1.651537418E-2,-6.008377075E-1
1.017085638E0,-2.497768961E-3,9.900122881E-3,-5.701694489E-1
1.036384860E0,6.671541929E-2,-1.285574436E-1,-4.306373596E-1
1.055896280E0,1.397134811E-1,-3.587566018E-1,-3.625164032E-1
1.065981004E0,1.725275367E-1,-5.078525543E-1,-3.169708252E-1
1.086343324E0,1.947505176E-1,-7.340877652E-1,-2.484493256E-1
1.106058162E0,2.136946917E-1,-8.483716249E-1,-6.322097778E-2
1.125894175E0,2.225672156E-1,-8.496133089E-1,1.144609451E-1
1.135927582E0,2.109407037E-1,-8.373219967E-1,6.034564972E-2
1.145951994E0,1.894779354E-1,-7.490085959E-1,-1.626052856E-1
1.166305589E0,1.135963723E-1,-5.772687793E-1,1.086931229E-1
1.185880043E0,1.482004672E-1,-4.607549608E-1,-1.743621826E-1
1.205853148E0,8.758451045E-2,-3.387510777E-1,-4.243869781E-1
1.215859100E0,1.382021606E-2,-3.051524758E-1,-3.685722351E-1
1.235863421E0,-6.367986649E-2,-2.622659802E-1,-1.956138611E-1
1.255848316E0,-2.058678865E-2,-1.978358030E-1,-2.539272308E-1
1.266051241E0,-1.522684842E-2,-1.844048500E-1,-3.538789749E-1
1.285965909E0,-1.292531937E-2,-1.944433451E-1,-3.117570877E-1
1.305794146E0,-1.245812327E-2,-2.564641237E-1,-1.791810989E-1
1.315837437E0,2.120971680E-3,-2.855549455E-1,-2.019090652E-1
1.335887913E0,2.134869248E-2,-3.598425388E-1,-1.251926422E-1
1.355885402E0,1.421611011E-2,-4.108877182E-1,-5.701541901E-2
1.375846181E0,3.992896527E-3,-4.346343279E-1,-8.874988556E-2
1.395844201E0,-2.435040474E-2,-3.893759847E-1,-9.651184082E-2
1.405849131E0,-8.390016854E-3,-3.646901846E-1,-1.099729538E-1
1.415912065E0,-1.306388527E-3,-3.344202042E-1,-1.569681168E-1
1.436654031E0,5.327320844E-2,-2.659767270E-1,-1.595668793E-1
1.456095539E0,3.735544905E-2,-2.284983397E-1,-2.130718231E-1
1.475870486E0,5.190954730E-2,-2.086651921E-1,1.510810852E-2
1.485903446E0,1.017550826E-1,-2.149922252E-1,-6.775665283E-2
1.505860913E0,8.126921207E-2,-1.940056682E-1,-3.427944183E-1
1.516104232E0,5.419663340E-2,-2.066311240E-1,-2.258663177E-1
1.535959052E0,5.763296783E-2,-1.894111037E-1,-1.964235306E-1
1.555846924E0,5.248316005E-2,-1.490550041E-1,-1.636304855E-1
1.565877706E0,3.264627978E-2,-1.352782845E-1,-9.463500977E-2
1.586414791E0,3.222301602E-3,-1.145106554E-1,-9.817886353E-2
1.605930156E0,-1.783442125E-2,-1.546453834E-1,-1.273260117E-1
1.616538046E0,-2.796802297E-2,-1.864264011E-1,-1.388845444E-1
1.637046855E0,-8.721739054E-3,-2.399466038E-1,-1.223192215E-1
1.656191088E0,1.430511475E-6,-2.387680411E-1,-1.188097000E-1
1.675970362E0,-4.016630352E-3,-2.260382175E-1,-1.859827042E-1
1.695893384E0,2.125665545E-3,-2.249068022E-1,-1.920757294E-1
1.715817669E0,2.031094581E-2,-1.862224340E-1,-1.945114136E-1
1.725833912E0,2.382287383E-2,-1.646528244E-1,-2.035846710E-1
1.745764467E0,1.620721072E-2,-1.165864468E-1,-2.590789795E-1
1.756537780E0,2.668526024E-2,-1.001955271E-1,-2.587356567E-1
1.775977817E0,2.097564936E-2,-6.364941597E-2,-2.091798782E-1
1.795926954E0,4.154691100E-2,-5.501997471E-2,-1.571493149E-1
1.816102949E0,3.348917514E-2,-6.887507439E-2,-1.768054962E-1
1.826484156E0,4.643019289E-2,-6.469547749E-2,-1.141033173E-1
1.846014919E0,3.696659207E-2,-1.013764143E-1,-2.947139740E-2
1.866340331E0,1.919706166E-2,-1.532456875E-1,-4.682922363E-2
1.886090460E0,7.760867476E-3,-1.547479630E-1,-2.954807281E-1
1.906014398E0,5.472583324E-2,-1.516884565E-1,-5.774497986E-2
1.925846802E0,5.115748942E-2,-1.459331512E-1,-3.455486298E-1
1.936853687E0,3.337311745E-2,-1.423172951E-1,-2.063751221E-1
1.956131078E0,-4.454004392E-2,-1.629378796E-1,-2.136459351E-1
1.976353120E0,-5.361520126E-2,-1.190713644E-1,-8.863735199E-2
1.995942641E0,3.713794798E-2,-4.281675816E-2,-2.286224365E-1
2.015796623E0,4.756445438E-2,-2.544999123E-3,-1.987361908E-1
2.035773088E0,4.286974669E-3,1.116275787E-3,-1.227064133E-1
2.045852924E0,9.413890541E-3,-6.404042244E-3,-1.648645401E-1
2.065787605E0,-1.885540783E-3,-7.650220394E-2,-7.347297668E-2
2.075918750E0,-1.556703448E-2,-1.137505770E-1,-8.833694458E-2
2.085923880E0,-1.958795264E-2,-1.381949186E-1,-8.662796021E-2
2.105898443E0,-1.056551188E-2,-1.384751797E-1,-8.222293854E-2
2.115931929E0,-9.989723563E-3,-1.436364651E-1,-7.705497742E-2
2.135899778E0,3.725849092E-3,-1.366554499E-1,-1.050987244E-1
2.155812939E0,7.291480899E-3,-1.580911875E-1,-9.837150574E-2
2.175788299E0,8.253976703E-3,-1.192351580E-1,-1.010046005E-1
2.186090165E0,2.308271825E-3,-1.085429192E-1,-1.303462982E-1
2.205907450E0,-9.171549231E-3,-5.921316147E-2,6.840133667E-2
2.225837031E0,2.097162604E-2,-5.561101437E-2,-2.440223694E-1
2.236182057E0,2.703474462E-2,-3.049135208E-2,-2.030115128E-1
2.255972636E0,2.194914967E-2,-3.642499447E-2,-5.830860138E-2
2.266025172E0,2.181636542E-2,-2.634930611E-2,-1.260347366E-1
2.286138675E0,3.156740218E-2,-1.907289028E-2,-8.680057526E-2
2.305926113E0,9.863004088E-4,-2.475976944E-3,-1.896476746E-2
2.325805473E0,-3.413375095E-2,-1.370906830E-2,-1.106967926E-1
2.335981174E0,-2.703990787E-2,-2.424657345E-2,-6.741333008E-2
2.346373503E0,-2.091767639E-2,-5.242240429E-2,-6.718730927E-2
2.365949924E0,9.037777781E-3,-9.065258503E-2,5.146026611E-3
2.385807689E0,3.705043346E-2,-1.042954922E-1,-4.828071594E-2
2.406156791E0,-2.596125007E-3,-9.222364426E-2,-7.785892487E-2
2.425837634E0,-2.786777914E-3,-9.806561470E-2,-5.807590485E-2
2.435973634E0,1.298263669E-3,-9.315419197E-2,-9.366035461E-2
2.455937093E0,-1.592206210E-2,-9.713256359E-2,-1.252479553E-1
2.476169103E0,-3.285308927E-2,-7.910430431E-2,-7.161998749E-2
2.496109801E0,-1.558975130E-2,-4.476058483E-2,-1.091699600E-1
2.516004611E0,-1.968742907E-2,-1.590096951E-2,-6.572246552E-2
2.535933860E0,-7.944114506E-3,5.096435547E-3,-1.227827072E-1
2.555928842E0,4.343971610E-3,-6.771087646E-5,-2.028560638E-2
2.575894202E0,2.548024058E-3,-3.228354454E-2,-5.110740662E-3
2.586217100E0,-1.485973597E-3,-3.635168076E-2,2.387428284E-2
2.606496123E0,-1.687603071E-2,-5.109465122E-2,-2.224750519E-1
2.626017545E0,2.734332532E-2,-5.440461636E-2,2.462100983E-2
2.636098564E0,3.391616046E-2,-8.084738255E-2,-2.671537399E-1
2.656070096E0,4.086200148E-2,-8.603632450E-2,-7.288265228E-2
2.675919815E0,-3.444926441E-2,-1.312414408E-1,-1.318054199E-1
2.685937277E0,-5.927859247E-2,-1.190289259E-1,-6.525135040E-2
2.696120721E0,-6.040152907E-2,-8.505487442E-2,-8.352470398E-2
2.706690230E0,-1.835876703E-2,-3.820025921E-2,-1.988105774E-1
2.726105265E0,6.405850500E-2,1.898849010E-2,-1.440105438E-1
2.736171720E0,1.668120176E-2,3.351366520E-2,-4.567146301E-2
2.755921002E0,5.137473345E-3,5.617737770E-3,-1.493854523E-1
2.776382411E0,2.581001818E-2,-2.501928806E-2,-9.236907959E-2
2.795953310E0,3.038101643E-2,-4.915547371E-2,-8.023166656E-2
2.815933314E0,5.030460656E-3,-4.819190502E-2,-1.067590714E-1
2.835929213E0,-6.418414414E-3,-6.497585773E-2,-9.854030609E-2
2.855795271E0,-2.000617981E-2,-6.824493408E-2,-1.263475418E-1
2.865809979E0,-1.119172201E-2,-7.960069180E-2,-1.342821121E-1
2.885918054E0,-1.741953567E-2,-6.685590744E-2,-1.274623871E-1
2.896512829E0,-1.270528138E-2,-5.001270771E-2,-1.400804520E-1
2.907063758E0,-1.026113704E-2,-2.697241306E-2,-1.694240570E-1
2.926051056E0,-5.322977901E-3,2.674901485E-2,-7.498931885E-2
2.946713037E0,5.005322397E-3,-1.278269291E-2,-1.938009262E-1
2.966018336E0,-1.380733028E-2,-3.331184387E-2,-7.581710815E-4
2.985825560E0,1.776375622E-2,-1.100826263E-2,-1.770277023E-1
2.995856321E0,3.436139598E-2,1.440703869E-2,-1.350860596E-1
3.016585381E0,1.980067790E-2,3.865551949E-2,-3.914070129E-2
3.036247633E0,-7.719296962E-3,5.465376377E-2,-1.817464828E-1
3.055995371E0,-1.611530781E-3,1.075661182E-2,-2.074136734E-1
3.075835431E0,2.405838668E-2,-3.520476818E-2,-1.379184723E-1
3.095839104E0,3.358069807E-2,-5.434513092E-2,-1.336345673E-1
3.115760699E0,2.314797789E-2,-2.936887741E-2,-1.842851639E-1
